payment_id,card_id,billing_cycle_start,billing_cycle_end,statement_balance,minimum_payment_due,payment_amount,payment_date,payment_method,payment_status,late_payment_flag,days_past_due
1,6987,1986-04-16,2022-12-12,2548,20,913,2014-10-31,Bank Transfer,,0.0,-3
2,10271,1973-03-25,1973-10-08,1350,43,3340,,ACH,Pending,1.0,-3
3,4811,2012-02-07,2009-04-14,2668,69,4125,,ACH,Paid,,10
4,11546,2014-10-22,1977-05-13,3238,184,2600,1992-06-25,,paid,1.0,0
5,6557,2020-12-08,2000-10-07,2897,181,2621,,bank transfer,,,30
6,9789,2001-09-08,1981-10-24,644,156,505,,bank transfer,,1.0,-3
7,1468,1998-05-12,1999-09-07,4007,48,1139,,Bank Transfer,Pending,1.0,5
8,7674,2022-05-20,1986-06-15,2585,117,2676,2023-05-16,ACH,,1.0,0
9,12387,2011-06-17,1995-08-18,1607,28,5667,,bank transfer,Pending,1.0,-3
10,13497,1975-06-18,2025-12-02,2110,96,5789,,,,,-3
11,1285,1987-11-13,2009-05-02,4343,42,737,,Bank Transfer,paid,1.0,5
12,15282,2000-09-10,2002-04-20,3200,46,5356,,Bank Transfer,,1.0,0
13,12878,1995-12-07,2019-08-01,4171,183,3237,1974-09-23,Debit Card,,1.0,0
14,4342,1998-04-01,1987-01-09,3192,53,94,,bank transfer,,1.0,5
15,5851,1970-05-23,2001-12-25,3099,133,3573,,,Paid,0.0,30
16,500,1970-02-27,2000-12-03,892,101,2237,,ACH,paid,,0
17,88,2021-04-23,1992-06-05,2661,34,4510,,,,1.0,10
18,10952,1987-08-02,1992-10-11,1928,165,1236,2010-09-19,bank transfer,paid,1.0,5
19,9297,2023-08-13,2008-07-11,1653,173,5848,,,,1.0,-3
20,11843,2007-09-25,1992-09-08,3649,95,4996,,ACH,,,30
21,2753,2008-05-31,2017-07-24,4186,84,5305,,Debit Card,paid,1.0,10
22,1834,1985-06-24,2007-08-01,3884,191,207,2025-07-15,,,1.0,5
23,5652,2005-03-05,1988-06-12,876,187,5188,2016-01-15,,Pending,0.0,5
24,10505,2005-03-03,2021-05-15,2161,98,3996,1979-01-04,bank transfer,Pending,0.0,10
25,2728,1980-07-30,1983-10-29,4106,167,2730,,Debit Card,paid,1.0,-3
26,8658,1983-10-30,1998-02-05,795,151,2840,2002-02-14,Debit Card,Paid,,10
27,6206,2023-09-16,2015-10-12,1512,68,3168,,Bank Transfer,Pending,,10
28,314,2016-08-15,2024-11-15,2810,123,3042,,Bank Transfer,Paid,0.0,-3
29,2826,2004-06-21,1972-02-21,3538,51,2443,,,Pending,1.0,-3
30,13393,2018-03-05,1997-09-12,2646,176,757,,ACH,,1.0,-3
31,627,2004-12-22,2010-12-24,998,84,1152,,Bank Transfer,paid,,30
32,472,2025-08-06,1989-03-27,1599,142,2936,,ACH,Paid,1.0,10
33,14360,1975-11-05,2005-09-12,1348,123,3976,,ACH,Pending,,30
34,9355,1971-03-10,2019-08-02,2572,72,5247,,bank transfer,Pending,0.0,30
35,9761,1973-10-12,2024-07-29,4543,69,2683,,,Pending,,10
36,5559,1988-05-23,1976-07-15,3620,136,5658,2022-07-21,Bank Transfer,Paid,0.0,10
37,6509,2019-06-14,2003-12-26,1497,147,11,1971-02-03,ACH,Paid,0.0,5
38,10383,2000-07-25,2021-05-04,4777,161,2563,1973-07-27,bank transfer,Paid,,0
39,12244,1989-10-28,1989-04-01,858,141,1930,,Bank Transfer,Pending,0.0,10
40,7257,1974-06-29,1981-11-15,967,85,2344,1997-09-16,bank transfer,Pending,,30
41,9947,2015-12-15,1970-05-08,4999,133,4808,1975-05-03,,Pending,0.0,-3
42,11002,1980-03-29,1981-06-03,2315,174,2149,,bank transfer,paid,,5
43,9117,1970-07-17,2017-04-04,4917,156,1271,2025-11-02,bank transfer,paid,1.0,5
44,15218,2010-12-22,1974-05-16,1497,86,3562,,Debit Card,Pending,1.0,-3
45,14049,2016-07-07,2011-09-17,1354,176,1729,,Debit Card,,0.0,10
46,4190,1998-06-21,2008-04-04,1857,92,2475,,Debit Card,paid,0.0,30
47,2248,1972-06-08,1970-01-11,1043,116,3762,,bank transfer,Pending,0.0,10
48,7601,1977-10-04,1999-10-23,2100,159,4722,,bank transfer,Pending,0.0,30
49,10379,2017-11-21,2003-11-05,3547,47,4806,1979-11-15,bank transfer,,0.0,0
50,41,1985-08-22,2003-09-18,3411,45,344,,ACH,Paid,,0
51,7251,1986-08-27,1988-01-29,1828,112,5377,1974-05-14,Debit Card,,1.0,10
52,14168,1996-03-05,1972-02-10,4509,111,130,,bank transfer,Paid,0.0,-3
53,10609,1985-07-29,1970-03-24,3369,139,5994,,ACH,,0.0,-3
54,14158,1997-01-19,2002-09-26,698,181,5316,1994-11-09,bank transfer,Paid,,10
55,10539,2014-12-31,1982-06-28,1798,114,1215,2002-05-21,Debit Card,Pending,,-3
56,14519,2014-04-08,2016-01-31,1205,50,973,,,,,-3
57,12091,2014-08-16,1992-05-27,3562,65,5975,,bank transfer,paid,,10
58,12863,1985-08-21,1989-09-07,3146,97,5792,,,Pending,1.0,30
59,6399,2008-02-13,2025-06-02,4459,178,5711,,ACH,paid,1.0,5
60,9013,1977-10-03,2012-10-18,4245,133,5135,,,Paid,1.0,30
61,7066,2013-08-12,1981-11-13,2053,96,2903,,ACH,Pending,0.0,0
62,101,2007-06-04,1980-01-08,599,118,5505,1997-10-06,bank transfer,Pending,,0
63,14861,2007-02-14,1972-03-11,2874,195,1498,,Debit Card,paid,0.0,30
64,5530,2020-03-27,2000-11-08,1539,148,813,2013-09-11,ACH,Pending,0.0,5
65,11370,1992-02-06,1977-04-10,3041,25,3717,,bank transfer,,,5
66,11663,2018-08-14,1986-11-01,2497,171,3463,,ACH,paid,,-3
67,4447,1970-01-23,1998-08-07,2878,186,443,1976-07-05,Bank Transfer,paid,1.0,-3
68,14590,1993-05-05,1982-06-14,2103,47,5819,1978-09-17,ACH,,1.0,-3
69,13977,2015-07-28,1999-12-11,1367,97,5228,,,Pending,0.0,5
70,6976,2012-03-12,1986-04-24,3597,44,851,,Debit Card,Paid,0.0,30
71,8694,2017-10-25,1996-03-30,1668,86,270,1999-05-06,Debit Card,Paid,,30
72,11099,2007-08-20,1980-03-09,3299,52,5190,,bank transfer,,0.0,5
73,832,1971-07-31,1994-05-02,2923,109,4193,2010-10-06,ACH,Paid,1.0,30
74,11792,2004-10-28,2005-04-28,4355,141,5680,,Bank Transfer,Pending,1.0,10
75,2015,1989-05-28,2022-11-20,2475,136,5637,1998-05-17,Bank Transfer,,,30
76,2479,2017-06-12,1987-10-05,1334,37,1547,1974-05-28,Bank Transfer,Paid,1.0,-3
77,9597,1977-10-18,1976-08-01,817,88,1159,,ACH,,1.0,30
78,2187,2022-09-20,2003-07-23,536,30,3343,2013-01-31,,Paid,0.0,0
79,8167,2000-05-11,1987-09-09,3311,51,5766,,Debit Card,Paid,0.0,0
80,13093,1970-07-19,1983-04-27,1046,109,2377,,Debit Card,Paid,0.0,5
81,3443,2010-06-09,1979-07-16,1854,195,4035,,,Pending,1.0,5
82,9725,2013-01-25,1980-09-12,4300,123,4808,,Bank Transfer,Paid,,0
83,9101,2010-03-05,1971-02-02,550,59,474,,Bank Transfer,Pending,1.0,-3
84,5152,2015-04-26,1975-10-10,4473,49,5973,,Debit Card,Paid,,5
85,8764,1975-12-02,2008-05-11,4859,58,2282,2025-04-06,ACH,paid,,30
86,13746,2023-05-11,1977-05-10,1603,145,5043,,bank transfer,,1.0,5
87,10053,1984-06-14,2013-10-20,2277,89,2873,,,paid,0.0,10
88,3840,1993-08-22,2022-09-19,2958,132,1158,,bank transfer,paid,,-3
89,6495,2006-04-07,2014-08-13,4891,134,1293,,Debit Card,paid,0.0,0
90,11665,1978-03-03,1986-11-19,3026,93,3543,,bank transfer,paid,,-3
91,2787,1993-11-21,1994-09-26,2264,30,3022,,Debit Card,Paid,0.0,30
92,9310,1978-02-19,1971-07-21,3204,69,4056,,Bank Transfer,,,10
93,4023,1980-12-19,2020-03-06,784,73,255,,Debit Card,Pending,0.0,10
94,8045,1995-12-29,1987-01-29,3728,21,1773,2000-09-28,,Pending,,10
95,5781,1998-07-29,2005-11-08,4907,48,3548,2018-03-15,Debit Card,Paid,0.0,-3
96,9082,1991-08-04,2016-03-13,3749,47,3906,,,Paid,0.0,10
97,5203,1979-08-04,1982-12-20,2781,134,681,,ACH,paid,0.0,0
98,3004,1971-06-23,1997-12-19,1616,171,2995,1976-12-30,ACH,Paid,,0
99,11046,1980-04-13,1971-01-02,3907,180,4359,,,,1.0,0
100,13181,1993-01-16,1988-01-31,3658,188,3199,,Debit Card,Paid,,0
101,699,1981-12-05,1974-10-19,3162,102,3757,,bank transfer,Paid,1.0,-3
102,12722,2024-05-11,1977-08-22,597,34,4708,,ACH,paid,1.0,0
103,8666,1980-04-25,1988-07-25,4449,115,5736,,Debit Card,paid,0.0,0
104,7242,2004-12-17,1989-06-21,1762,56,3591,,ACH,Paid,1.0,-3
105,3274,2024-02-29,2015-04-09,1378,172,1271,,,paid,1.0,30
106,9864,1986-12-14,1978-03-29,4885,132,2374,,bank transfer,Pending,0.0,5
107,7418,1988-02-04,1972-12-16,4931,34,2831,,Bank Transfer,,1.0,5
108,14532,2024-11-08,2022-01-23,2709,143,1875,1990-01-16,,,0.0,30
109,11195,2011-09-21,2003-03-23,3671,144,3372,,,Pending,,30
110,12337,2005-12-01,1983-02-21,2799,28,3511,1990-09-18,Bank Transfer,,,10
111,11178,2011-10-15,2025-12-20,2634,27,2904,,,Pending,1.0,5
112,8176,2024-06-02,2017-03-06,4586,167,3958,,ACH,Paid,1.0,0
113,14572,1972-05-18,2002-06-02,4342,120,4859,1996-09-18,,paid,1.0,10
114,1969,1985-11-15,1986-11-14,2510,198,2293,1998-11-20,Debit Card,Paid,0.0,0
115,14986,1975-11-26,2008-11-18,3648,164,4759,,Bank Transfer,,1.0,0
116,9148,2023-09-15,1984-07-24,3918,52,3101,,,Pending,0.0,10
117,6637,1973-01-15,2000-09-19,770,28,530,,ACH,Pending,0.0,30
